###############################################
## SELF-CONSISTENT PROTEIN DOMAIN ##
## CLASSIFICATION OF STRUCTURES ##
## For Step 2111 at similarity 6.78 ##
############################################### 
## EVOLUTIVE NETWORK ##
## FROM SIMILARITY 6.78 TO 4 ## 	
###############################################
# More details at: 
# Pascual-García A, Abia D, Ortiz ÁR, Bastolla U, 2009
# Cross-Over between Discrete and Continuous Protein Structure Space: Insights into Automatic Classification and Networks of Protein Structures
# PLoS Comput Biol 5(3): e1000331. doi:10.1371/journal.pcbi.1000331
###############################################
# ***** Set Features:	 #
# * Alignment: Mammoth Multiple.	 #
# * Similarity Score: Contact Overlap 6 #
# * Score Length Normalization: Gaussian #
# * Clustering: Average Linkage	 # 
# * Set: SCOP-CATH Consensus (2890 domains) #
# ***** #
############################################### 
#
# 
# Link Code Meaning:
# Link=1 There is a superfamily relation for SCOP
# Link=2 There is a superfamily relation for CATH
# Link=3 There is a superfamily relation for both SCOP and CATH
#
#Similarity IdClusterA IdClusterB LinkCode 
0.675983 Clus>318 Clus>546 3
3.82238 Clus>318 Clus>548 3
3.03187 Clus>318 Clus>554 2
3.86097 Clus>318 Clus>555 2
4.38273 Clus>318 Clus>556 2
2.97923 Clus>318 Clus>557 2
2.01825 Clus>318 Clus>559 3
1.37055 Clus>318 Clus>560 3
3.24176 Clus>319 Clus>413 1
3.61970 Clus>319 Clus>629 1
6.15938 Clus>322 Clus>355 3
2.70338 Clus>322 Clus>409 3
6.48623 Clus>322 Clus>541 3
4.59839 Clus>322 Clus>543 3
2.98532 Clus>322 Clus>544 2
0.691850 Clus>322 Clus>546 3
4.61247 Clus>322 Clus>548 3
3.05370 Clus>322 Clus>554 2
2.40056 Clus>322 Clus>555 2
3.05307 Clus>322 Clus>556 2
3.56398 Clus>322 Clus>557 2
4.65504 Clus>322 Clus>559 3
2.51860 Clus>322 Clus>560 3
4.98375 Clus>323 Clus>369 1
2.14140 Clus>323 Clus>590 1
5.36493 Clus>327 Clus>538 3
1.69923 Clus>327 Clus>539 3
3.29483 Clus>329 Clus>773 3
4.31363 Clus>329 Clus>774 3
6.50180 Clus>329 Clus>775 3
5.71980 Clus>332 Clus>579 3
6.15050 Clus>333 Clus>362 3
5.40510 Clus>335 Clus>399 2
2.92112 Clus>337 Clus>358 1
4.46485 Clus>337 Clus>398 1
4.50947 Clus>337 Clus>401 1
1.95300 Clus>337 Clus>411 1
2.52120 Clus>337 Clus>674 1
3.14265 Clus>337 Clus>675 1
3.90770 Clus>338 Clus>386 1
3.37098 Clus>338 Clus>394 1
3.88650 Clus>338 Clus>606 1
5.95454 Clus>339 Clus>357 3
4.97927 Clus>339 Clus>385 3
5.14821 Clus>339 Clus>416 3
5.44852 Clus>339 Clus>523 3
4.64418 Clus>340 Clus>369 2
3.28288 Clus>340 Clus>387 1
4.34893 Clus>340 Clus>390 2
1.82000 Clus>340 Clus>505 1
5.17593 Clus>341 Clus>407 3
5.88528 Clus>341 Clus>441 3
2.69532 Clus>341 Clus>540 3
2.09184 Clus>341 Clus>547 3
2.69810 Clus>341 Clus>549 2
5.12644 Clus>341 Clus>550 3
3.87874 Clus>341 Clus>551 3
5.44420 Clus>341 Clus>554 1
3.91486 Clus>341 Clus>555 1
1.72512 Clus>341 Clus>558 1
3.77548 Clus>341 Clus>561 3
2.72075 Clus>348 Clus>584 1
6.08305 Clus>351 Clus>678 3
5.70725 Clus>351 Clus>679 3
1.44338 Clus>355 Clus>409 3
6.63337 Clus>355 Clus>541 3
2.67177 Clus>355 Clus>543 3
2.11330 Clus>355 Clus>544 2
0.621633 Clus>355 Clus>546 3
3.20707 Clus>355 Clus>548 3
